company,enterprise_number
AIG LIFE SOUTH AFRICA,South Africa > M2001016602
OXNET BUSINESS,South Africa > K2016219754
RDR CAPITAL,South Africa > K2017498869
SAAB GRINTEK DEFENCE,South Africa > M1998019043
SOUTHERN PALACE PROPERTIES (RF),South Africa > K2014053442
IBEX CAPITAL,South Africa > K2016121197
FRESENIUS KABI SOUTH AFRICA,South Africa > M1998006230
WEEKEND STAY,South Africa > K2020220037
OSRIN WEALTH,South Africa > K2018311140
FXCM SOUTH AFRICA,South Africa > K2015279499
HIGHLAND NIGHT INVESTMENTS 94,South Africa > M2002014742
ROYAL CANIN SOUTH AFRICA,South Africa > M1998003459
IRONWOOD TRUSTEES,South Africa > M2005012343
SA STOCK BROKERS CAPITAL,South Africa > K2014027273
NTSIMBINTLE HOLDINGS,South Africa > M2004003269
GOLDMAN SACHS INTERNATIONAL BANK (INCORPORATED IN ENGLAND ),South Africa > K2018448712
MARICO SOUTH AFRICA,South Africa > M1977001752
JANSSEN PHARMACEUTICA,South Africa > M1980011122
J R NOMINEES,South Africa > M1969003342
SAMSUNG ELECTRONICS SOUTH AFRICA PRODUCTION,South Africa > K2013096003
Herenya Capital Advisors,South Africa > K2016192137
MUSTEK,South Africa > M1987070161
CONSULTUP,South Africa > K2017216621
MMS COMMUNICATIONS SOUTH AFRICA,South Africa > M1976001070
MANOLIS INVESTMENTS STRATEGIES,South Africa > K2017030667
HERAEUS SOUTH AFRICA,South Africa > M2003012076
NEST ASSET MANAGEMENT,South Africa > K2014258803
SA STOCK BROKERS,South Africa > M2000019936
STANDARD BANK GROUP,South Africa > M1969017128
MOMENTUM OUTCOME-BASED SOLUTIONS,South Africa > M2004023064
CENTO CAPITAL,South Africa > M2004035548
RMB HOLDINGS,South Africa > M1987005115
KAXU SOLAR ONE (RF),South Africa > K2011109767
CRUX CAPITAL MANAGEMENT,South Africa > K2012054136
BJC CIVIL ENGINEERS,South Africa > B2009162687
REV38,South Africa > K2016077980
BASFOUR 3773,South Africa > M2010002719
SEAVIEW SUPERMARKET,South Africa > B2008201647
AGNOLIDAM CAPITAL,South Africa > K2022634792
DEUTSCHE SECURITIES,South Africa > M1973006709
DIMENSION DATA,South Africa > M1987006597
SASOL OIL,South Africa > M1981007622
